date,wage_nominal,rent,wage_real,wealth_pump,elite_candidates,psi_index
2015-10-01,,,,,716195.0,
2016-10-01,,,,,729269.0,
2017-10-01,,,,,738190.0,
2018-10-01,,,,,738387.0,
2019-10-01,,,,,736008.0,
2020-10-01,,,,,749580.0,
2021-10-01,,,,,741727.0,
2022-01-01,92.0,102.3,96.3,111.19565217391305,740570.1,82348.17525
2022-02-01,93.7,102.5,97.4,109.39167556029884,739413.2,80885.64887940236
2022-03-01,99.6,102.6,101.5,103.01204819277108,738256.3,76049.29355421686
2022-04-01,100.5,102.8,101.8,102.28855721393036,737099.4,75396.83414925374
2022-05-01,100.0,103.0,100.4,103.0,735942.5,75802.0775
2022-06-01,100.7,103.2,101.1,102.48262164846078,734785.6,75302.75463753725
2022-07-01,97.2,103.3,97.1,106.27572016460904,733628.7,77966.9184259259
2022-08-01,94.3,103.5,93.8,109.75609756097562,732471.8,80393.24634146343
2022-09-01,94.8,103.6,92.7,109.28270042194092,731314.9,79920.06713080168
2022-10-01,95.4,103.8,92.6,108.80503144654088,730158.0,79444.8641509434
2022-11-01,127.3,104.0,123.4,81.69677926158681,728715.3333333334,59533.695731866996
2022-12-01,104.6,104.1,101.9,99.52198852772467,727272.6666666666,72379.62198852772
2023-01-01,99.6,104.4,96.0,104.81927710843377,725830.0,76080.97590361448
2023-02-01,98.2,104.6,93.9,106.5173116089613,724387.3333333334,77159.7913102512
2023-03-01,102.8,104.8,97.6,101.9455252918288,722944.6666666666,73700.97380025941
2023-04-01,107.0,105.0,101.1,98.13084112149532,721502.0,70801.59813084113
2023-05-01,105.4,105.2,99.7,99.81024667931688,720059.3333333334,71869.29968374447
2023-06-01,109.2,105.3,103.0,96.42857142857142,718616.6666666666,69295.17857142855
2023-07-01,103.8,105.5,97.7,101.63776493256262,717174.0,72891.96242774568
2023-08-01,100.0,105.8,93.8,105.8,715731.3333333334,75724.37506666666
2023-09-01,100.5,105.9,94.0,105.37313432835822,714288.6666666666,75266.83562189054
2023-10-01,101.2,106.0,94.7,104.74308300395256,712846.0,74665.68774703557
2023-11-01,135.6,106.1,127.4,78.2448377581121,712855.0833333334,55777.23034046215
2023-12-01,109.0,106.3,102.3,97.5229357798165,712864.1666666666,69520.60634556574
2024-01-01,104.9,106.7,98.3,101.71591992373688,712873.25,72510.55841277406
2024-02-01,104.9,106.9,97.9,101.906577693041,712882.3333333334,72647.3988878297
2024-03-01,110.3,107.1,102.5,97.0988213961922,712891.4166666666,69220.9163417951
2024-04-01,114.6,107.4,105.9,93.717277486911,712900.5,66811.0939790576
2024-05-01,112.7,107.5,104.1,95.38598047914816,712909.5833333334,68001.57959923099
2024-06-01,112.1,107.7,103.5,96.0749330954505,712918.6666666666,68493.61320249779
2024-07-01,109.6,107.8,100.8,98.35766423357664,712927.75,70121.90825729928
2024-08-01,107.1,108.0,98.6,100.84033613445378,712936.8333333334,71892.7899159664
2024-09-01,105.6,108.2,97.2,102.46212121212122,712945.9166666666,73049.95093118688
2024-10-01,106.4,108.4,97.5,101.8796992481203,712955.0,72635.6409774436
2024-11-01,142.9,108.5,131.3,75.92722183344996,712955.0,54132.69244226732
2024-12-01,113.8,108.6,104.1,95.4305799648506,712955.0,68037.70913884004
2025-01-01,108.5,108.9,99.4,100.36866359447004,712955.0,71558.34055299539
2025-02-01,108.8,109.1,99.3,100.27573529411764,712955.0,71492.08685661765
2025-03-01,113.8,109.3,103.5,96.04569420035148,712955.0,68476.25790861159
2025-04-01,118.7,109.6,107.5,92.33361415332772,712955.0,65829.71187868576
2025-05-01,117.0,109.8,105.9,93.84615384615384,712955.0,66908.0846153846
2025-06-01,117.8,110.0,106.6,93.3786078098472,712955.0,66574.74533106961
2025-07-01,114.3,110.2,103.1,96.41294838145232,712955.0,68738.09361329835
2025-08-01,109.4,110.4,98.6,100.91407678244973,712955.0,71947.19561243145
2025-09-01,111.3,110.5,100.0,99.28122192273136,712955.0,70783.04357592094
2025-10-01,111.3,110.7,99.7,99.46091644204851,712955.0,70911.1576819407
2025-11-01,148.1,110.9,133.0,74.881836596894,712955.0,53387.37981093857
